time,he4,be8,c12
0.0,0.25,0.0,0.0
0.00020202020202020202,0.24999974747340836,1.2626090451470194e-07,1.5942095126722144e-12
0.00040404040404040404,0.2499994949441385,2.525183655941633e-07,6.376775785876172e-12
0.0006060606060606061,0.24999924241219057,3.78772383329355e-07,1.4347605424252564e-11
0.0008080808080808081,0.2499989898775646,5.050229578112332e-07,2.5506605034907916e-11
0.00101010101010101,0.2499987373402607,6.312700891307318e-07,3.985368122739973e-11
0.0012121212121212121,0.24999848480027903,7.575137773787843e-07,5.738874061374032e-11
0.0014141414141414141,0.24999823225761963,8.837540226463495e-07,7.811168980844155e-11
0.0016161616161616162,0.24999797971228266,1.0099908250243447e-06,1.0202243542840399e-10
0.0018181818181818182,0.24999772716426816,1.1362241846037006e-06,1.2912088409300807e-10
0.00202020202020202,0.24999747461357624,1.2624541014753465e-06,1.5940694242408886e-10
0.0022222222222222222,0.249997222060207,1.3886805757302105e-06,1.928805170459361e-10
0.0024242424242424242,0.24999696950416056,1.5149036074592193e-06,2.2954151458529418e-10
0.0026262626262626263,0.249996716945437,1.6411231967532962e-06,2.6938984167145817e-10
0.0028282828282828283,0.2499964643840364,1.7673393437033644e-06,3.124254049360575e-10
0.0030303030303030303,0.24999621181995887,1.8935520484003472e-06,3.5864811101320697e-10
0.0032323232323232323,0.24999595925320453,2.0197613109351644e-06,4.0805786653948645e-10
0.0034343434343434343,0.24999570668377347,2.1459671313987354e-06,4.606545781539319e-10
0.0036363636363636364,0.2499954541116658,2.272169509881977e-06,5.164381524980354e-10
0.0038383838383838384,0.24999520153688157,2.3983684464757787e-06,5.754084962157977e-10
0.00404040404040404,0.24999494895942093,2.524563941271054e-06,6.375655159536233e-10
0.004242424242424242,0.24999469637928393,2.650755994358717e-06,7.029091183603703e-10
0.0044444444444444444,0.2499944437964707,2.776944605829675e-06,7.714392100873666e-10
0.004646464646464647,0.24999419121098138,2.9031297757748305e-06,8.431556977883964e-10
0.0048484848484848485,0.24999393862281596,3.029311504285085e-06,9.180584881197013e-10
0.00505050505050505,0.24999368603197467,3.1554897914513216e-06,9.961474877399774e-10
0.0052525252525252525,0.24999343343845748,3.2816646373644323e-06,1.07742260331038e-09
0.005454545454545455,0.24999318084226457,3.407836042115316e-06,1.161883741494522e-09
0.0056565656565656566,0.249992928243396,3.5340040057948608e-06,1.2495308089584725e-09
0.005858585858585858,0.2499926756418519,3.660168528493955e-06,1.3403637123707578e-09
0.006060606060606061,0.24999242303763233,3.786329610303484e-06,1.434382358402362e-09
0.006262626262626263,0.24999217043073743,3.912487251314326e-06,1.531586653726705e-09
0.006464646464646465,0.24999191782116728,4.038641451617359e-06,1.6319765050196665e-09
0.006666666666666666,0.24999166520892196,4.164792211303462e-06,1.7355518189596096e-09
0.006868686868686869,0.2499914125940016,4.290939530463511e-06,1.8423125022273393e-09
0.007070707070707071,0.24999115997640625,4.417083409188374e-06,1.952258461506116e-09
0.007272727272727273,0.24999090735613608,4.543223847568923e-06,2.065389603481658e-09
0.007474747474747474,0.24999065473319113,4.6693608456960585e-06,2.181705834841887e-09
0.007676767676767677,0.2499904021075715,4.795494403660676e-06,2.3012070622772157e-09
0.00787878787878788,0.24999014947927733,4.921624521553586e-06,2.423893192481105e-09
0.00808080808080808,0.2499898968483087,5.047751199465649e-06,2.549764132149089e-09
0.008282828282828282,0.24998964421466568,5.173874437487722e-06,2.678819787979163e-09
0.008484848484848484,0.2499893915783484,5.299994235710661e-06,2.8110600666717756e-09
0.008686868686868687,0.24998913893935693,5.4261105942253215e-06,2.946484874929837e-09
0.008888888888888889,0.24998888629769142,5.552223513122551e-06,3.085094119458705e-09
0.00909090909090909,0.24998863365335192,5.678332992493198e-06,3.2268877069662007e-09
0.009292929292929294,0.24998838100633852,5.804439032428111e-06,3.3718655441625997e-09
0.009494949494949495,0.24998812835665135,5.93054163301813e-06,3.520027537760631e-09
0.009696969696969697,0.2499878757042905,6.056640794354098e-06,3.671373594475485e-09
0.009898989898989899,0.2499876230492561,6.182736516526852e-06,3.825903621024803e-09
0.0101010101010101,0.2499873703915482,6.30882879962723e-06,3.983617524128688e-09
0.010303030303030303,0.24998711773116689,6.434917643746066e-06,4.144515210509696e-09
0.010505050505050505,0.2499868650681123,6.561003048974189e-06,4.30859658689284e-09
0.010707070707070707,0.24998661240238454,6.687085015402428e-06,4.475861560005585e-09
0.01090909090909091,0.24998635973398367,6.813163543121612e-06,4.6463100365778624e-09
0.011111111111111112,0.2499861070629098,6.939238632222562e-06,4.81994192334205e-09
0.011313131313131313,0.24998585438916304,7.065310282796101e-06,4.996757127032986e-09
0.011515151515151515,0.24998560171274348,7.191378494933047e-06,5.176755554387965e-09
0.011717171717171716,0.24998534903365122,7.317443268724218e-06,5.359937112146738e-09
0.01191919191919192,0.24998509635188637,7.443504604260428e-06,5.5463017070515144e-09
0.012121212121212121,0.249984843667449,7.569562501632488e-06,5.735849245846952e-09
0.012323232323232323,0.24998459098033923,7.695616960931208e-06,5.928579635280172e-09
0.012525252525252526,0.24998433829055716,7.821667982247395e-06,6.124492782100753e-09
0.012727272727272728,0.2499840855981029,7.947715565671922e-06,6.32358859305966e-09
0.01292929292929293,0.2499838329029765,8.073759711295694e-06,6.525866974909985e-09
0.013131313131313131,0.24998358020517808,8.199800419209371e-06,6.731327834410651e-09
0.013333333333333332,0.24998332750470778,8.32583768950375e-06,6.939971078321032e-09
0.013535353535353536,0.24998307480156565,8.451871522269634e-06,7.151796613402958e-09
0.013737373737373737,0.2499828220957518,8.577901917597813e-06,7.366804346420705e-09
0.013939393939393939,0.2499825693872663,8.703928875579079e-06,7.584994184141015e-09
0.014141414141414142,0.24998231667610932,8.829952396304224e-06,7.806366033333084e-09
0.014343434343434344,0.24998206396228087,8.955972479864033e-06,8.030919800768557e-09
0.014545454545454545,0.24998181124578114,9.081989126349291e-06,8.258655393221542e-09
0.014747474747474747,0.24998155852661016,9.208002335850782e-06,8.489572717468597e-09
0.014949494949494949,0.24998130580476804,9.334012108459286e-06,8.723671680288741e-09
0.015151515151515152,0.24998105308025492,9.460018444265581e-06,8.960952188463446e-09
0.015353535353535354,0.24998080035307085,9.58602134336044e-06,9.201414148776636e-09
0.015555555555555555,0.24998054762321595,9.712020805834636e-06,9.445057468014697e-09
0.01575757575757576,0.2499802948906903,9.838016831778944e-06,9.691882052966468e-09
0.01595959595959596,0.24998004215549402,9.964009421284126e-06,9.941887810423238e-09
0.01616161616161616,0.2499797894176272,1.0089998574440954e-05,1.0195074647178763e-08
0.016363636363636365,0.24997953667708991,1.0215984291340189e-05,1.0451442470029247e-08
0.016565656565656565,0.2499792839338823,1.0341966572072589e-05,1.0710991185773343e-08
0.016767676767676768,0.24997903118800446,1.0467945416728916e-05,1.0973720701212178e-08
0.016969696969696968,0.24997877843945646,1.0593920825399924e-05,1.1239630923149316e-08
0.01717171717171717,0.2499785256882384,1.0719892798176372e-05,1.1508721758390793e-08
0.017373737373737375,0.24997827293435038,1.0845861335149006e-05,1.1780993113745084e-08
0.017575757575757574,0.2499780201777925,1.0971826436408576e-05,1.2056444896023127e-08
0.017777777777777778,0.2499777674185649,1.1097788102045831e-05,1.2335077012038326e-08
0.01797979797979798,0.24997751465666762,1.122374633215153e-05,1.2616889368606108e-08
0.01818181818181818,0.24997726189210076,1.1349701126816447e-05,1.2901881872543767e-08
0.018383838383838384,0.24997700912486448,1.1475652486131298e-05,1.3190054430672885e-08
0.018585858585858588,0.2499767563549588,1.160160041018682e-05,1.3481406949816581e-08
0.018787878787878787,0.24997650358238385,1.172754489907375e-05,1.3775939336800428e-08
0.01898989898989899,0.24997625080713975,1.185348595288283e-05,1.4073651498452463e-08
0.01919191919191919,0.2499759980292266,1.1979423571704785e-05,1.4374543341603156e-08
0.019393939393939394,0.24997574524864444,1.2105357755630355e-05,1.4678614773085444e-08
0.019595959595959597,0.2499754924653934,1.2231288504750265e-05,1.49858656997347e-08
0.019797979797979797,0.24997523967947363,1.2357215819155242e-05,1.5296296028388748e-08
0.02,0.24997498689088515,1.2483139698936014e-05,1.5609905665887876e-08
